year_film,year_ceremony,ceremony,category,name,film,winner
1979,1980,52,ACTOR IN A LEADING ROLE,Dustin Hoffman,Kramer vs. Kramer,TRUE
1979,1980,52,ACTOR IN A LEADING ROLE,Jack Lemmon,The China Syndrome,FALSE
1979,1980,52,ACTOR IN A LEADING ROLE,Al Pacino,...And Justice for All,FALSE
1979,1980,52,ACTOR IN A LEADING ROLE,Roy Scheider,All That Jazz,FALSE
1979,1980,52,ACTOR IN A LEADING ROLE,Peter Sellers,Being There,FALSE
1979,1980,52,ACTOR IN A SUPPORTING ROLE,Melvyn Douglas,Being There,TRUE
1979,1980,52,ACTOR IN A SUPPORTING ROLE,Robert Duvall,Apocalypse Now,FALSE
1979,1980,52,ACTOR IN A SUPPORTING ROLE,Frederic Forrest,The Rose,FALSE
1979,1980,52,ACTOR IN A SUPPORTING ROLE,Justin Henry,Kramer vs. Kramer,FALSE
1979,1980,52,ACTOR IN A SUPPORTING ROLE,Mickey Rooney,The Black Stallion,FALSE
1979,1980,52,ACTRESS IN A LEADING ROLE,Jill Clayburgh,Starting Over,FALSE
1979,1980,52,ACTRESS IN A LEADING ROLE,Sally Field,Norma Rae,TRUE
1979,1980,52,ACTRESS IN A LEADING ROLE,Jane Fonda,The China Syndrome,FALSE
1979,1980,52,ACTRESS IN A LEADING ROLE,Marsha Mason,Chapter Two,FALSE
1979,1980,52,ACTRESS IN A LEADING ROLE,Bette Midler,The Rose,FALSE
1979,1980,52,ACTRESS IN A SUPPORTING ROLE,Jane Alexander,Kramer vs. Kramer,FALSE
1979,1980,52,ACTRESS IN A SUPPORTING ROLE,Barbara Barrie,Breaking Away,FALSE
1979,1980,52,ACTRESS IN A SUPPORTING ROLE,Candice Bergen,Starting Over,FALSE
1979,1980,52,ACTRESS IN A SUPPORTING ROLE,Mariel Hemingway,Manhattan,FALSE
1979,1980,52,ACTRESS IN A SUPPORTING ROLE,Meryl Streep,Kramer vs. Kramer,TRUE
1979,1980,52,ART DIRECTION,"Art Direction:  Michael Seymour, Les Dilley, Roger Christian;  Set Decoration:  Ian Whittaker",Alien,FALSE
1979,1980,52,ART DIRECTION,"Art Direction:  Philip Rosenberg, Tony Walton;  Set Decoration:  Edward Stewart, Gary Brink",All That Jazz,TRUE
1979,1980,52,ART DIRECTION,"Art Direction:  Dean Tavoularis, Angelo Graham;  Set Decoration:  George R. Nelson",Apocalypse Now,FALSE
1979,1980,52,ART DIRECTION,Art Direction:  George Jenkins;  Set Decoration:  Arthur Jeph Parker,The China Syndrome,FALSE
1979,1980,52,ART DIRECTION,"Art Direction:  Harold Michelson, Joe Jennings, Leon Harris, John Vallone;  Set Decoration:  Linda DeScenna",Star Trek - The Motion Picture,FALSE
1979,1980,52,CINEMATOGRAPHY,Giuseppe Rotunno,All That Jazz,FALSE
1979,1980,52,CINEMATOGRAPHY,Vittorio Storaro,Apocalypse Now,TRUE
